"cod_outfit","cod_modelo_color"
1,"51000622-02"
1,"43067759-01"
1,"53060518-02"
1,"53030594-08"
1,"43077762-01"
1,"43063724-OR"
1,"43075794-OR"
2086,"51000622-02"
2086,"53003778-OR"
2086,"53010582-TM"
2086,"53073728-99"
2086,"53015780-99"
145,"43067759-01"
145,"53060518-02"
145,"43057767-70"
145,"43050805-OR"
145,"51030639-02"
145,"43085809-28"
145,"43087766-OR"
145,"43045788-28"
626,"43067759-01"
626,"43005802-OR"
626,"43013764-01"
626,"43027739-01"
626,"53000867-13"
2,"53060518-02"
2,"51000622-06"
2,"41041002-02"
2,"53060511-08"
2,"43005802-OR"
5,"53060518-02"
5,"43005802-OR"
5,"43073737-OR"
5,"43025786-OR"
5,"51000622-99"
5,"53080880-37"
5,"43035019-08"
5,"43065750-99"
5,"43030693-OR"
5,"43047758-05"
5,"43063738-OR"
8,"53060518-02"
8,"43063738-46"
8,"43025786-OR"
8,"43063738-OR"
8,"51000637-02"
8,"43058831-01"
8,"53050548-99"
8,"43097754-99"
8,"43057767-70"
27,"53060518-02"
27,"53020607-07"
27,"53103803-OR"
27,"53050829-OR"
27,"51000949-02"
27,"53010582-BL"
31,"53060518-02"
31,"53030691-OR"
31,"51003031-50"
31,"53021059-08"
31,"53030619-01"
102,"53060518-02"
102,"53080809-OR"
102,"53023750-01"
102,"53023736-05"
102,"51021121-43"
104,"53060518-02"
104,"53050548-99"
104,"53080809-OR"
104,"53031097-OR"
104,"51023026-08"
104,"53053715-06"
139,"53060518-02"
139,"43063738-46"
139,"43053725-OR"
139,"43087018-BL"
139,"51030620-02"
139,"43033720-52"
139,"43063762-08"
139,"43057755-05"
140,"53060518-02"
140,"53060511-08"
140,"43005802-OR"
140,"43073737-OR"
140,"43030693-OR"
140,"43087018-BL"
140,"51030620-52"
140,"43060860-03"
147,"53060518-02"
147,"43005802-OR"
147,"43035019-08"
147,"43050805-OR"
147,"43073754-OR"
147,"51030639-99"
147,"41017020-08"
166,"53060518-02"
166,"53030691-OR"
166,"51031125-15"
166,"43088834-05"
166,"51080862-08"
200,"53060518-02"
200,"43050805-OR"
200,"44045825-OR"
200,"51040592-01"
200,"43083719-99"
200,"43095746-01"
214,"53060518-02"
214,"53090511-CU"
214,"53090827-OR"
214,"53191158-46"
214,"53090517-08"
214,"51040837-02"
214,"53103804-OR"
219,"53060518-02"
219,"53030691-OR"
219,"53050831-OR"
219,"53031097-OR"
219,"53050632-08"
219,"51040897-08"
219,"51070896-07"
220,"53060518-02"
220,"53030691-OR"
220,"53070631-08"
220,"53031097-OR"
220,"51040902-54"
220,"53000588-TM"
240,"53060518-02"
240,"53053763-30"
240,"53193794-OR"
240,"53103804-OR"
240,"51043730-77"
272,"53060518-02"
272,"53053763-30"
272,"53080871-99"
272,"53090827-OR"
272,"53050595-OR"
272,"53063037-OR"
272,"53103804-OR"
272,"51050756-07"
283,"53060518-02"
283,"53080809-OR"
283,"51051037-01"
283,"53033778-50"
290,"53060518-02"
290,"53103803-OR"
290,"53091158-OR"
290,"53023750-01"
290,"53090544-05"
290,"51053035-56"
293,"53060518-02"
293,"53080809-OR"
293,"53050624-01"
293,"53031097-OR"
293,"53053793-OR"
293,"51053041-81"
296,"53060518-02"
296,"43003754-OR"
296,"43087766-OR"
296,"51053704-69"
296,"43057761-05"
296,"51063704-69"
296,"43013751-08"
320,"53060518-02"
320,"43050805-OR"
320,"41055822-08"
320,"51060422-08"
320,"41065822-50"
347,"53060518-02"
347,"43087766-OR"
347,"43057761-05"
347,"51063704-69"
347,"43013751-08"
347,"51067019-69"
347,"51073704-69"
347,"43080722-OR"
378,"53060518-02"
378,"53040593-08"
378,"53060830-OR"
378,"51070587-05"
378,"53030757-02"
381,"53060518-02"
381,"43005802-OR"
381,"43073737-OR"
381,"43003756-OR"
381,"43063737-OR"
381,"43063762-08"
381,"51070618-99"
381,"43033733-79"
391,"53060518-02"
391,"43030693-OR"
391,"53050683-92"
391,"51070902-02"
391,"43045788-28"
391,"43090723-OR"
391,"51040845-02"
392,"53060518-02"
392,"53030691-OR"
392,"53060830-OR"
392,"51070804-99"
392,"51070902-99"
392,"53060568-99"
392,"43083004-08"
393,"53060518-02"
393,"43063738-46"
393,"53081158-OR"
393,"53033776-OR"
393,"53193794-OR"
393,"43015793-OR"
393,"51070905-70"
393,"51080905-70"
394,"53060518-02"
394,"53080809-OR"
394,"53020608-07"
394,"53043747-99"
394,"53053793-OR"
394,"53000619-02"
394,"51070909-76"
394,"53050914-99"
432,"53060518-02"
432,"53040578-01"
432,"53103796-OR"
432,"53053793-OR"
432,"43015795-OR"
432,"51080613-11"
432,"51080660-02"
432,"51090613-11"
445,"53060518-02"
445,"53030594-08"
445,"53030691-OR"
445,"53043037-OR"
445,"53031097-OR"
445,"51080896-07"
446,"53060518-02"
446,"43063738-46"
446,"53081158-OR"
446,"53033776-OR"
446,"53193794-OR"
446,"43015793-OR"
446,"51070905-70"
446,"51080905-70"
456,"53060518-02"
456,"53103803-OR"
456,"53090511-CU"
456,"53080828-OR"
456,"51070804-99"
456,"51093712-06"
456,"53003762-OR"
456,"53070540-07"
456,"51083712-06"
498,"53060518-02"
498,"53040578-01"
498,"53103796-OR"
498,"53053793-OR"
498,"43015795-OR"
498,"51080613-11"
498,"51090613-11"
508,"53060518-02"
508,"53050682-70"
508,"53040712-OR"
508,"53060830-OR"
508,"53073709-99"
508,"51090740-99"
508,"53083035-50"
539,"53060518-02"
539,"43063738-46"
539,"43003754-OR"
539,"53091158-OR"
539,"53080920-99"
539,"51093753-99"
592,"53060518-02"
592,"53030691-OR"
592,"53080828-OR"
592,"53043037-OR"
592,"51060677-08"
592,"53000619-02"
593,"53060518-02"
593,"53030691-OR"
593,"53043037-OR"
593,"53090591-12"
593,"53000619-70"
593,"51960789-74"
619,"53060518-02"
619,"53030691-OR"
619,"53080828-OR"
619,"53050624-01"
619,"53040541-05"
619,"53020885-05"
619,"53000843-01"
620,"53060518-02"
620,"53030594-08"
620,"53080809-OR"
620,"53010582-01"
620,"53000843-02"
621,"53060518-02"
621,"53103803-OR"
621,"53050829-OR"
621,"53040605-CU"
621,"53020885-05"
621,"53000843-43"
657,"53060518-02"
657,"53021059-08"
657,"53060830-OR"
657,"53050831-OR"
657,"53020589-28"
657,"53000938-06"
820,"53060518-02"
820,"43005802-OR"
820,"43073737-OR"
820,"43063738-46"
820,"43025786-OR"
820,"43003756-OR"
820,"44045825-OR"
820,"53050595-OR"
820,"41095799-02"
820,"53010841-99"
834,"53060518-02"
834,"53030691-OR"
834,"53043037-OR"
834,"53060830-OR"
834,"53010925-56"
840,"53060518-02"
840,"53030691-OR"
840,"53070631-08"
840,"53021059-08"
840,"53031097-OR"
840,"53010933-15"
868,"53060518-02"
868,"53081158-OR"
868,"53010582-01"
868,"53040605-CU"
868,"53013714-31"
969,"53060518-02"
969,"53030594-08"
969,"53080809-OR"
969,"53080716-OR"
969,"53020587-56"
969,"53080586-56"
996,"53060518-02"
996,"43087766-OR"
996,"53020670-02"
996,"43087779-01"
996,"43005031-PL"
998,"53060518-02"
998,"43077762-01"
998,"53070592-08"
998,"43005827-05"
998,"53020670-76"
998,"41025822-05"
1038,"53060518-02"
1038,"43077762-01"
1038,"53070631-08"
1038,"43025732-02"
1038,"53020980-07"
1038,"43070802-OR"
1118,"53060518-02"
1118,"53091158-OR"
1118,"53050831-OR"
1118,"53103805-OR"
1118,"53023750-99"
1118,"51080862-08"
1118,"53025737-02"
1154,"53060518-02"
1154,"53030579-79"
1154,"53040548-12"
1154,"53060910-70"
1163,"53060518-02"
1163,"43005802-OR"
1163,"43073737-OR"
1163,"43069088-08"
1163,"43090723-OR"
1163,"43015746-02"
1163,"43030715-OR"
1163,"53030597-56"
1165,"53060518-02"
1165,"53080809-OR"
1165,"53020608-07"
1165,"53113782-OR"
1165,"53030601-56"
1183,"53060518-02"
1183,"43063738-46"
1183,"43063738-OR"
1183,"43003754-OR"
1183,"53040593-08"
1183,"41095821-08"
1183,"43053725-OR"
1183,"43087018-BL"
1183,"53030651-70"
1195,"53060518-02"
1195,"43075794-OR"
1195,"43005802-OR"
1195,"43073737-OR"
1195,"43030693-OR"
1195,"43047758-05"
1195,"43063738-OR"
1195,"43013749-09"
1195,"53030663-01"
1195,"53050881-17"
1203,"53060518-02"
1203,"43005802-OR"
1203,"43025786-OR"
